C00062 C02163
C00279 C00447
CE5971 CE5966
C01829 C00708
CE5122 C00042
C00105 C03706
CE5971 CE5970
C00245 C05844
CE5115 CE4795
C02863 C00017
C01368 C02355
C00139 C00138
C04633 C04364
C01185 C03722
C06145 C06144
CE2420 C05279
CE2728 CE2729
C00314 C00250
C14770 C14774
CE1352 C05138
C00363 C00364
C02031 C00021
C00366 C00385
C01708 C00500
C01944 C05265
CE6502 CE5528
CE6498 CE6364
G00020 G00021
C09820 C09819
C05478 C05476
C05478 C05477
CE4968 C02939
CE1918 CE6205
C00408 C04092
C07343 C00798
C00708 C01382
C04932 C00352
CE2054 CE3554
C05966 C14813
CE5278 C01693
CE1261 C00097
C00077 C00134
C04885 C00055
C00458 C00039
C06526 C07344
C00131 C00039
CE0849 CE2433
CE2433 CE2442
CE5253 CE2179
CE5162 C00510
CE5153 CE5152
CE4846 CE4844
C00003 C00455
C00082 C01392
C00792 C03771
C00425 C00072
CE2209 C03917
CE5649 CE5648
C00330 C00362
C04010 C04755
C04571 C04680
C00345 C00257
C03740 C00151
C05755 C05756
C05460 C05450
C01222 C00325
C00579 C01136
C05378 C05345
CE4848 CE4852
C02303 C00425
CE4848 CE4850
C00293 C00208
CE6026 CE6027
C01194 C00416
C05463 CE1589
C14799 C14793
CE5649 CE5650
C00031 C00206
CE4846 CE4847
C04079 C04352
CE5153 CE5154
CE2026 C00037
CE5986 CE1924
C05560 C05535
C01879 C00025
C00134 C00315
C03406 C00122
C04555 C01227
C00292 C02558
C00535 C14497
CE6191 CE6192
C01060 C01829
C05850 C01628
C00719 C00073
C00078 CE3140
CE5629 CE5626
C00229 C05761
C05402 C00031
C00133 C00027
C00214 C00178
C01137 C00170
CE4716 CE2859
C00131 C00085
C05755 C05754
C00897 C01835
C00325 C14830
C00085 C00118
CE2163 C04717
C07297 CE5934
C05674 C05676
C04405 C03345
CE0852 CE0850
C00530 C00001
C01035 C00334
C04405 C03344
C00072 C02147
C00579 C01169
C00131 C00092
CE5251 CE5244
C05206 C00021
CE4993 CE5531
C02291 C00097
CE1241 CE4845
C00078 C03512
C00788 CE5536
C00111 CE1186
CE5967 CE5966
C00989 C00232
C02871 C03957
CE5256 CE5252
C00111 C00447
CE5068 CE5875
CE4804 CE4802
C00199 C00231
C03012 C06205
C05604 C01693
CE5546 CE5536
C00133 C00022
C03758 C04043
C03626 C00543
C05356 C00909
CE7077 CE6364
CE5618 CE5620
C05962 CE0955
C03772 C00280
CE5901 C00401
C00951 C00468
C01449 C00242
CE4815 CE4811
C02147 C00725
CE5842 CE5843
C02166 C05951
C00133 C00014
C02637 C00944
CE0692 CE2597
C03722 C04409
C01717 C00328
CE5526 CE5920
C00062 C05933
CE2084 CE7097
CE6027 CE5079
C00712 C00510
G00097 G00098
G00097 G00099
C05335 C05691
CE5168 C05460
C05329 C05232
C05535 C04076
C00053 C00850
C03917 CE6032
C00046 C00112
G00023 C04750
C00346 C00570
C03681 CE2211
C00242 C01449
C05469 C00762
CE4989 CE5945
C00073 C02430
C01051 C02469
CE5661 CE5662
C00231 C00118
CE3123 C09727
C00025 C03912
CE5967 CE5968
C00546 C05999
C00350 C00189
CE2516 CE6232
C00041 C01419
G00120 G00121
CE2516 CE6230
C02112 C00116
C03820 C01264
C00234 C03294
CE5643 CE6000
G00144 G00145
C06157 C00527
G00074 G00075
CE6246 CE6247
C00079 C02505
C02593 C00010
C03406 C00062
CE4843 CE4842
C00523 CE6031
C01293 C01256
C00033 C00158
C14805 C14800
C01756 C03542
C14871 C14870
CE5240 CE5252
C05458 C05457
CE6452 CE6444
C00189 C00350
C03800 C02743
C14871 C14875
C00677 C00039
C14871 C14872
C00581 C00062
C00427 C01312
C14871 C14873
CE5702 C11695
C00258 C00168
C03221 C05262
C03990 CE5560
C03708 C00270
CE4877 C05957
C00019 C04728
G00074 G00073
C00355 C00822
CE1939 CE2072
C01832 C03221
C00189 C00346
C03990 CE5558
C04874 CE6488
G10596 G10597
C00725 C00579
C00785 CE7217
C00794 C01096
CE5310 CE5308
G00015 G00178
C00999 C00996
C00386 C00099
C00643 C05648
C00110 C04500
C05454 CE1272
C00047 CE5588
C00535 C04295
C00213 C00037
C05465 C05337
C00416 C00681
C00804 C05985
CE5535 CE5534
C01079 C02191
C01601 C04717
C02538 C00468
C00546 C00937
C00576 C00719
C00785 CE7220
C00010 C00292
C00145 C04090
CE7082 CE7080
CE6000 CE5643
C00369 C00267
G10596 G10595
CE2835 C02052
CE5806 CE3056
C00191 CE5854
C12448 C01416
C14846 C14843
C02291 C00014
C05227 C00105
C00339 C03715
C00144 C00035
C05379 C00026
C00258 C00197
C00479 C00067
C05301 CE5254
C01120 C00517
C01829 CE2881
C00188 C00037
C00677 C00013
C00049 C00152
CE1665 C02238
C00052 C04750
C00027 C01829
C00628 C05585
C01205 C00349
G10595 C05864
CE5326 CE5327
CE5838 CE5837
C02871 C00042
C00066 C04158
CE2414 CE5122
C00320 C01755
C01609 C02729
C01829 CE2871
CE2056 CE2053
CE6326 CE6492
C01829 CE2877
C00379 C00181
C00066 C04160
C00319 C06124
C03413 C02567
CE4993 C03363
C03069 C03231
C04570 C04253
CE1617 C00777
C04884 C04911
C00687 C00842
CE5902 CE5896
C00019 C04748
C00503 C03494
C00010 C02038
C00106 C00299
C03231 C00356
C00048 C01180
C03758 C00547
C01978 C01977
C00053 C03721
C01755 C00177
CE5329 CE5341
C00112 C00705
C06754 C06755
CE2049 CE2306
C05379 C00011
C00154 CE2252
C00422 C00060
C01595 C00157
CE2049 CE2305
C11524 C11525
CN0021 CN0022
C02528 C05337
CE2154 CE2158
C00416 C00641
CE4835 CE4831
C00065 C02934
C00458 C00705
C00025 C06112
C00130 C00655
C04409 C03824
C05452 CE0233
C00002 C00074
C00581 C00037
CE5329 CE5331
C07281 C07282
C01245 C11555
CE5936 CE5939
CE4980 CE5708
C00064 C00025
CE6243 CE6245
CN0016 CN0017
G00077 G00078
C00117 C05382
C05301 CE2182
C02944 CE2435
CE4888 CE5665
C05301 CE2183
C00942 C00144
C00036 C00158
C02515 C01060
C00601 CE5835
C01201 C00003
C00440 C00143
CE5101 CE5132
C00601 CE5837
C00601 CE5839
CE6455 CE6445
C06409 C06410
C01136 C00579
C14802 C14804
C14802 C14803
CE1951 CE6511
C03012 C14783
C13636 C00033
CE5661 C06314
C05337 C05465
C01235 C00124
CE4840 CE4841
C00328 C01717
CE4840 CE4842
CE7097 CE6246
C00036 C00149
C00187 C01953
CE5719 CE5721
CE5835 C00601
C01885 C00641
C00064 C00003
CE6221 C00157
C06130 G00040
C02576 C11924
C00124 C01697
C04633 C05763
C00068 C05381
C04633 C05762
C00267 C00668
CE2750 CE5822
CE2750 CE5821
C06130 G00038
CE2917 C00079
CE5790 CE5786
C00410 CE1353
C00636 C00096
C00655 C01762
CE4807 CE4808
C02055 C00037
C05480 C05479
C00299 C00105
C00299 C00106
C02094 C00376
C02055 C00040
C00015 C00075
C05301 CE5245
C00136 C00010
CE2725 CE2726
CE5698 CE1262
C03862 C02863
CE5559 CE5560
CE5866 CE5829
C04248 C00416
CE5986 CE5643
C00643 C00780
C00343 C00342
C01161 C04043
C04540 C00049
C00015 C00046
CE2567 C06314
C01997 C00024
CE5560 C03990
CE5752 CE5747
C00954 C00637
G00045 C06131
C03518 C00461
C00840 CE5823
CE4807 CE4802
C00043 C00015
C01165 C03912
CE2567 C06315
C00037 C03508
C00064 C00079
C00822 C00355
C04575 C00425
CE6499 CE6498
CE5117 CE5118
CE4980 CE5730
CE5121 C05275
CE2102 C00725
C00577 C00116
CE5319 C00024
C00408 C00450
CE5538 CE5547
CE7047 CE7101
CE2418 CE2422
CE5243 CE5249
C05692 C05698
CE5538 CE5542
C04726 C01308
C00708 C02515
C00229 C03939
C00015 C01346
C00168 C00258
C05261 C05260
C00017 C00613
C07292 C01346
C00116 CE4922
CE5850 CE5851
C03023 C00342
CE1261 C00822
C00579 C00725
CE6250 C04849
CE2418 CE2433
C00206 C00131
C02939 CE4968
C00092 C00031
C00342 C00054
C05889 C05890
CE2839 CE2838
C03508 C01888
C00147 C00212
C05966 C14781
C03735 C01171
C00696 CE6240
C02415 C03702
CE2072 CE1939
C02050 C01595
CE6240 CE6241
C05747 C05746
C00046 C00063
C00078 CE3087
C02863 C03862
CE5721 CE5723
C00167 C03033
C00158 C00417
CE5723 CE1926
C00020 C00130
CE5132 CE5101
CE7098 C04317
C00043 C01306
C05475 C02140
CE2172 C00067
CN0004 C00426
CE5545 CE4888
C02972 C02051
C00130 C03794
C00356 C00332
C01724 C00058
C05452 C05451
C00673 C01801
C00141 C04424
C01648 C03511
CN0011 C14849
C05796 C00124
C00061 C00016
CE4838 CE4832
CE5560 C00037
C01180 C00073
C03078 C01035
C05747 C05748
C00046 C00046
C05452 C05444
CE0328 CE6450
CE0328 CE6451
C00418 C00356
C00046 C00044
C00992 C00541
CE5021 CE5017
CE5133 C04554
C01134 C00882
C00136 C00877
C00157 C00114
C00062 C00327
C05946 C05947
C00012 C03011
C00641 C04637
CE7122 C14153
C03968 C05977
C07535 C14849
CE2164 CE2165
C00630 C04424
CE2011 C01755
C14789 C14788
C00046 C00035
CE5021 CE5022
C00473 CE1761
C01201 C00062
CE5946 CE5947
CE1401 C00155
C05636 C05637
CE6242 C05957
C00020 C00147
CE7106 CE7105
C01306 C04917
C05271 C05270
C00100 C00163
C05581 C05582
CE5277 CE4888
CE6465 CE6450
C07535 C14850
C14843 C14844
C05271 C05268
C07535 C14851
C14843 C14846
C14843 C14845
CE3092 CE2095
C14789 C14790
C14859 C14864
C00664 C00101
C05335 C05708
CE0194 C00040
C00017 C00562
CE2540 CE4813
CE5835 CE5841
C00101 C03541
C00630 CE4804
C00473 CE1754
C00517 C01120
C11945 C11947
C00264 C00640
C00836 C01120
CE4878 CE5724
C14773 C14769
C03693 C00636
CE2120 C05643
CE2540 CE7090
CE2540 CE7091
C00584 C00004
C09642 C09640
CE5316 CE5307
C01646 C01931
C00039 C00131
C01157 C04281
C00233 CE2028
C05270 C00010
C05634 CE1918
C00024 C02232
CE3808 CE3134
C00051 C01419
C00996 C00003
CE2540 CE7088
C04805 CE2084
CE2540 CE7089
C04750 C04902
C04750 C04901
C00398 C00637
CE6225 CE6227
CE5316 CE5314
CE6225 CE6226
CE2540 CE7080
C02567 C00750
CE2053 CE2056
C00122 C01061
C14791 C14796
CE2053 CE2054
C06000 C06001
CE5313 CE5311
C05470 C05469
CE6189 CE6188
CE0074 C00366
C00157 C02737
C05275 CE5121
C01235 C00137
C03836 C00004
G10526 G00005
C02469 C01051
C00025 C01205
G00055 C06132
CE6219 CE7101
C01176 C05138
C01044 C00049
CE5313 CE5309
CE5994 C03577
CE1264 CE5272
C00046 C00075
CE1264 CE5274
C05936 C02946
CE5526 CE5898
C00037 C00430
C00022 C06010
C04432 C00066
CE6189 CE6192
CE5796 CE5794
C05116 C00877
C00763 C03564
C02325 C05615
C00311 C00011
CE5982 CE2119
C01044 C00058
C00064 C00940
G00071 G00072
C00460 C00075
C05402 C00124
CE2947 CE2095
CE6498 CE6221
C00956 C00322
C03373 C04751
CE7221 CE0347
C11695 CE5705
C11695 CE5704
C04922 G00056
C11695 CE5703
C04922 G00051
G00071 G00081
CE4853 CE4855
C05455 C05451
C05760 C04688
C11695 CE5702
C05455 C05452
G00141 G00151
CE5006 CE5005
CN0003 CN0004
C05455 C05457
CE2537 CE6230
C00187 C01164
G00071 G00083
CE5727 C00584
C00002 C00046
C00311 C00026
CE1261 CE5272
C00868 C02764
C03363 CE0078
C00003 C04707
C00078 C00331
C05399 C00794
CE6186 CE6187
C01164 C05443
C02617 C14785
C00140 C00611
C00051 C00127
CE4872 C04722
CE2020 C00037
C00030 C00028
C01094 C05378
CE4853 CE4849
C00831 C00864
C04936 C04922
C01972 C04833
C02188 C03635
C00425 C04575
CE5148 CE5150
C00696 C00427
C00601 C01041
C04256 C04932
C00109 C05984
CE5530 CE3038
CE5897 CE5903
C00605 C00040
C01222 C14830
CE6034 C00355
C01165 C00025
C04317 C04598
CE5558 C03990
C04685 C04686
C00049 C00099
C05966 CE7172
C03372 C03129
C06606 C00870
C02834 C04072
CE2203 CE2204
C00612 CE4788
CE5148 CE5144
C01176 C00280
G00071 G00067
C05860 C05861
C00798 C00058
CE3056 CE5806
C14786 C06205
CE4995 CE4994
C11304 CE6238
C14874 C14875
CE4724 CE2917
C14874 C14877
C00236 C01159
CE5179 CE5178
CE6499 CE6501
C14781 C05966
C00999 C00004
CE5930 CE5931
G00141 G00140
C00033 C00084
C02558 C00292
C00239 C00705
G00035 C00128
CE5902 CE5902
C00491 C00097
C05957 CE6242
C06250 C04419
C02238 C03958
C00046 C00013
C01172 C01236
C00046 C00015
C00002 C00008
C00508 C00259
G00043 G00042
G00087 G00067
C00013 C00201
CE4825 CE4828
CE4825 CE4826
CE6501 CE6499
CE6501 CE6498
C05274 C05263
C02249 C00219
G10599 G10598
C01290 C01190
C00046 C00008
C00046 C00002
CE5246 CE2179
C01220 C03546
C00460 C01346
C00312 C00379
C01644 C03127
C00245 C05122
CE7109 CE7113
CE7109 CE7112
C03284 C06002
C03232 C01005
C05274 C05275
C00140 C00645
C04707 C00584
C05279 CE2420
C00187 C05500
C00187 C05502
C05695 C05689
CE0347 C05965
CE5344 CE5347
C00101 C00415
CE5344 CE5345
C03129 C00339
C00819 C00014
C00078 C00398
C00721 C00267
CE2065 C00386
C00089 C02336
C01165 C00077
C00052 C00446
C00019 C02967
CE6194 C00547
CE5245 C05301
C04922 G00061
C04922 G00060
CE6585 C00376
CE5944 CE4987
CE5944 CE4988
C11378 CE5022
C04512 C03815
C02593 C03881
C00022 C00256
C02320 C01322
CE7088 C06439
C01172 C00221
C00004 C00584
C00439 C00664
C04618 C05744
C14801 C14800
CE5944 CE4990
C04717 CE2576
CE5702 C00416
C02189 C03424
C00349 C01188
C00060 C02850
CE5179 CE5348
C00479 C00398
CE2243 C02041
C05337 C04644
CE5179 CE5352
C04911 CE5741
CE5940 CE5939
CE6498 CE6501
G00140 G00149
C01944 C02838
CE5940 CE5938
C05381 C00068
C06899 C11150
C11378 CE5017
C00535 C05293
C04530 C04814
CE5141 CE5139
G00140 G00141
CE5314 CE5315
C06054 C06055
C00831 C01678
C00118 C00279
C00504 C00101
CE2705 CE5236
C00033 C05993
C00235 C05859
C01312 CE0955
C14869 C07490
CE5875 C00288
C00008 C00002
CE5665 CE4888
C00067 C00132
C00197 C00631
C00527 C00877
CE5547 CE5538
C04317 CE7098
CE2952 CE5654
C00144 C00387
C00951 CE2179
CE4770 CE7078
C02147 C00072
C00032 C02191
C00475 C00055
C04233 C00670
CE5252 CE5240
CE5152 CE5153
C14830 C01222
C00526 C00106
C06948 C07486
C00082 C00268
C00541 C02823
C02592 C00054
CE5252 CE5242
C05261 C01832
C05273 C05260
C03895 C03023
CE0713 CE2421
C05140 C05139
C02834 C00054
CE5155 CE2512
C00311 C05379
C00008 C00020
C14772 C14768
C11555 C01284
C02320 C05729
C05642 CE5860
C00212 C00294
C00419 C03475
C01322 C02320
C04373 C11136
C02320 C00051
C05345 C00665
CE4799 CE4798
C05284 C05285
C01024 C05766
C05345 C00668
C00129 C00235
C08261 CE6504
C00118 C00236
CE5835 CE5022
CE6228 CE6229
C00084 CE4890
G00151 G00141
C00019 C00021
C00118 C00231
C00419 C03463
C01693 C05604
C00235 C00129
C00909 CE6474
C00909 CE6473
C00008 C00046
C05535 C05560
C01264 C03820
C06350 C03758
C00053 C00573
C01977 C00242
C01201 C00301
C04805 CE5815
C05757 C05756
CE6246 C00909
C00506 C05528
C03227 C05645
CE4722 CE2915
CE4990 C02165
CE5528 CE2061
C00632 C04409
C03460 C06000
C05688 C01528
C00951 C05503
C01640 C02282
C00559 C00147
C05262 C05263
C11439 C11440
C00473 C02075
C00280 C00674
CE2250 CE2246
CE5854 CE1926
C02320 C00025
C00499 C00603
C00369 C00103
CE5860 C05642
G00064 C04936
CE5533 CE5924
C00361 C00342
CE4800 CE4799
CE4800 CE4796
CE0850 CE0852
CE5304 C00696
C11509 C04840
G00073 G00074
C00024 C03011
C04874 C03820
C00882 C00010
C05345 C01172
CE1942 CE1943
CE1937 CE1935
CE1298 CE1292
C09642 CE2196
CE5647 CE5646
C00398 CE2152
G00079 G04561
C06299 C06133
C01137 C00750
C14872 C14871
C00288 CE5875
CE7078 C02737
C11555 C01245
C01836 CE2863
CE5899 C01328
C05457 C05453
C05757 C05758
C01836 CE2862
C01755 C00957
C05457 C05458
CE4855 CE4853
C00294 C00262
C14861 C14858
CE5647 CE5648
C14145 C02232
C00342 C03023
G00084 G00085
CE6188 CE6193
C05952 CE4936
G00009 G00008
CE4844 CE4845
CE6188 CE6189
C02850 C00060
CE4844 CE4846
C05138 C01227
C03415 C05932
CE1360 C00187
C00043 C04789
C00037 C00581
C01326 C00094
C00035 C03013
CE3554 CE2054
CE5528 CE5922
C00620 C00117
C05768 C05769
CE7105 CE1447
C01312 C00427
C05584 C05583
C00668 C05345
CE4822 CE4820
C01551 C00499
CE4822 CE4821
CE2872 CE2754
CE5127 CE0932
C04677 C00101
C00044 C05922
C00053 C03642
CE5840 CE5839
C02567 CE4788
CE5341 CE5329
CE5964 C00350
C14040 C14802
C14040 C14800
C05473 C05474
C00019 C00073
C00091 C02232
C00037 CE2020
C00081 C00352
CE4833 CE4831
CE5254 C05301
C00037 CE2026
C00631 C00197
C09642 C03758
CE6196 C00788
CE5309 C00024
C05984 C00109
C04644 C00100
C00195 C02686
C00082 C02839
C00309 C00199
CE2434 CE2421
C00039 C02967
C14845 C14843
C00352 C00085
C00195 C00060
C01146 C00168
CE5875 C03345
CE4817 CE4819
C00187 C01802
CE4817 CE4821
CE5898 CE5526
CE5325 CE5321
C14850 C14852
C05489 C00735
CE4806 CE4805
CE4877 CE4876
C00267 C00369
CE5325 CE5323
CE4806 CE4801
C14788 C14040
C00272 C00268
C12126 C00836
G10597 C05868
C01636 C02163
C00864 C03492
G00040 C06130
C04432 C00129
C00179 C00134
C00025 C01165
C04895 C00044
C05977 CE6326
C01136 C00024
C00842 C11907
G00051 G00052
C00146 C00054
C15658 C04248
C00535 CE1358
G10597 G10596
CE7092 C04741
C00535 CE1356
CE2594 CE0784
C02737 C00416
C00071 C00226
C00877 C00136
CE5903 CE5897
CE4828 CE4825
CE1241 C02249
CE5347 CE5344
C05439 CE2321
C00584 C00427
C01218 C00345
CE5895 CE5900
CE3122 C12136
C01190 C01290
CE4872 CE0232
CE6432 CE0328
G00159 C00634
C14856 C14852
C00022 CE5626
C00049 C00438
C00725 C00425
CE4839 CE4836
G00084 G00069
C00322 C00527
CE7084 CE7079
C05502 C05501
C02163 C00066
CE7172 C06315
C03035 CE2437
CE5534 CE5828
C05479 C05480
C01792 C02817
C00584 CE5726
C04805 C05356
C00584 CE5727
CE5158 CE5159
C00077 C00327
CE5309 CE5313
C00039 C00286
C00472 C05309
CE5747 CE5776
C00165 C01885
C12214 C12215
CE5726 C00116
CE6506 CE2006
CE5747 CE5775
C00473 C00376
C00447 C00281
C00100 C03344
C00024 C02558
C03626 C00327
C00547 CE6194
C01181 C00487
C04554 C04644
C00738 C00206
C00026 C05381
C00422 C00641
C00068 C03028
G00013 G00014
C00111 C03372
C00818 C02670
G00125 C06136
C00025 C00669
CE5795 CE5794
CE5854 C00191
CE5869 CE5867
CE5964 CE5650
CE6244 CE6241
C05130 C02835
CE2882 CE2886
C00219 C14771
C02567 C00612
C00219 C14770
C01225 C00116
C00219 C14779
C03684 C04244
C00219 C14778
C00100 C05983
C00248 C01169
G00069 G00084
C00100 C04644
C07535 CN0012
C00842 C02097
CE5276 CE5025
C00541 C06453
C00937 C00546
C06205 C14784
C00584 C04707
C06505 C06506
C01097 C03785
CE2179 CE2186
C00219 CE2565
CE5535 C00219
C06205 C14786
C00219 C14768
C00234 C04734
C13636 C00530
C00219 C14769
C06205 C14787
C00641 C02112
C00065 C02218
C00416 C04248
C14851 CN0010
C05985 C00804
C00325 C00035
G10526 C05864
C00134 C00170
C04717 C01601
C00642 CE1957
C00670 C05650
C01953 C00410
CE5122 CE2414
C02440 C00374
C01169 C00091
C00017 C02863
C01724 C01054
C01209 C05756
C06135 CE5740
C05954 C00584
C01209 C05759
C03428 C00751
C03541 C03541
C00670 C04317
C01209 C05750
CE2174 C00547
C00325 G00178
C01209 C05753
G00047 G00048
C05615 C02325
C00416 C01194
C03880 C03523
C10164 C03824
C00219 C14748
C06315 CE2567
C00219 C14749
CE5800 C00746
C00535 C11134
C00332 C01144
C06299 G00119
C00030 C01033
C00315 C00750
C03287 C01165
C03530 C03531
C04654 C04741
CE6466 CE6451
C01209 C05762
CE4793 CE4791
C00066 C04728
G00058 G00059
CE6029 C03205
CE5747 CE5755
CE5747 CE5754
CE5125 CE2038
CE5747 CE5753
CE5747 CE5752
C02050 CE2434
CE1617 CE5756
C00099 C00386
CE5947 CE5946
C02430 C03294
C00356 C00418
C05451 C05452
C05861 C05860
C05451 C05455
CE1186 C00266
C00584 C04741
C00300 C02305
C01290 C06135
C00708 C02465
C01176 C05497
C00338 CE7078
CE1298 C06340
C01777 C00060
C00116 C00422
C05859 C11356
C02406 C05653
CE1556 C00152
C00219 C11695
C00248 C01136
C05490 C02140
C05403 C05394
C02238 CE1661
C05744 C04618
C00101 C00143
C01013 C05668
CE5626 C00022
CE5976 CE5525
C02238 CE1665
C04506 C00021
C05746 C05747
C00447 C00279
C01176 C05488
G00058 G00057
CE5936 CE5935
CE7220 C00785
C04244 C03684
C00601 C02477
G00147 G00148
CE5531 CE4990
CE2246 CE2242
CE7114 CE7110
C05265 C00024
CE4988 CE4987
C03892 C00344
C03758 C05587
C00346 CE5648
C05258 C05259
C06486 C06487
C00095 C00085
C00065 C02291
C02051 C00011
C11475 C02743
C00101 C09332
C02249 CE4795
C05258 C05272
CE2866 C02465
C00641 C00350
CE2754 C00708
C00735 C05471
CE2246 CE2250
CE5348 CE5179
G00158 G00159
C00461 C03518
C00073 C00037
C00023 C00032
C00096 C01222
C00318 CE0194
C00023 C00023
C02128 C02374
CE2433 CE0849
C02739 C00119
C01528 C05688
C04253 C04570
CE7085 CE6508
C12215 C00117
CN0009 CN0013
CE7172 C05966
CN0009 CN0012
C05965 CE0347
C00268 C00272
C00029 C00167
CE5848 CE5723
C03451 C00546
C00146 C00850
C00012 C00012
C00370 C01958
C00641 CE5650
C06002 C02170
C00857 C01185
C00097 C00669
C03479 C00445
C01259 C00037
CE5995 CE5994
CE5114 CE5116
C00017 C06412
C00177 C01755
C04364 C04633
C01209 C05744
C00096 C03862
C01209 C05746
C00012 C00010
C03862 G00140
C05713 C05712
C02693 C00954
C00047 C01931
C02060 C01607
C01429 C01997
CE2179 CE5246
CE6364 CE7077
C00029 C00103
C00468 C05298
C03706 C00105
C00029 C00105
C00134 C02714
C04895 C06148
C01639 C03125
CE5125 CE5126
C00089 C00267
C00040 C00010
G10599 G00008
C05635 C05634
C04707 C00003
C00097 C00606
C04843 C04849
CE5541 CE5536
C02918 C05842
C14040 C14788
C00357 C00352
C02918 C05843
C00084 C00033
C01755 C01326
C00450 C00408
C03090 C00064
C01185 C00857
C00025 C00624
C01794 C00695
CE5586 C00986
G00125 G00126
G00125 G00127
C02846 C01183
C05761 C05760
CE2257 CE2245
C05615 C00590
C05269 C05268
CE1928 CE7073
C00735 C05489
C00412 C00510
CE5799 C00840
C00601 C11378
C01641 C02987
C00379 C00312
CE5169 CE5168
C00280 C03772
C04500 C00110
C00886 C01635
C00329 C00352
C00028 C03345
CE2179 CE5253
C00486 C05787
CE4799 CE4800
C01693 C05578
C00487 C02571
C04734 C00130
C05635 C05660
CE2152 C00398
C00695 C01794
C00988 C00160
C00187 CE6321
CE5531 CE4993
G00147 G00146
C03701 C11477
C00066 C02163
C00051 C00025
C05761 C05762
CE5158 CE5157
C00040 C00027
CE5847 CE5848
CE5589 C00376
CE6316 CE6317
C00141 C00630
G00140 C03862
C00468 C11133
G00027 C04901
C00366 CE6252
C00040 C00060
C00097 C00491
C01243 C04063
G00008 G00009
CE1938 CE1936
CE5947 CE2054
CE4832 CE4820
C00003 C01034
C06197 C00008
CE1297 CE1294
C04063 C04549
C01149 C01181
C00144 C00242
CE5586 CE1944
C00473 CE5590
CE2961 CE2962
C00449 C00047
C05469 C05470
C00224 C00053
C00800 C00191
CE4809 C06427
C00082 C00355
C06131 C06130
C01179 C00082
C00636 C00275
C00236 C00118
C03708 C00033
C00547 CE5538
C04441 C04692
C00416 C03974
C00410 C05479
C06099 C11409
C03758 CE5276
CE4987 CE4988
C01194 C00137
CE4987 CE4989
C00280 C01227
C00093 C00111
C03463 C00419
C05745 C05746
C03263 C05770
C01528 C00030
C02477 C00601
C03680 C00439
C00427 C00696
C05450 C05460
C00534 C00647
CE2089 CE2088
G00178 C00325
C00696 C05959
CE6187 CE6186
C00696 C05957
CE5337 CE5319
C11174 C01204
CE6187 CE6183
C01598 C05642
C00041 C01205
CE0784 CE2594
C01245 C04637
C01598 C05643
CE5126 CE0932
C05472 C05471
C00350 C00416
CE5456 C00233
C05859 CE5963
CE2435 CE2431
CE2202 CE2203
CE1924 CE5655
C01595 C04717
C00233 C02939
CE4876 CE4877
CE2056 CE3554
C04494 C01228
C00037 C05520
C00410 C05498
C00900 C00022
G00103 G00104
C05868 G10598
C09815 C00180
CE4818 CE4816
CE1941 CE1940
C05868 G10597
C00544 C01036
C00037 C05519
CE6583 C00376
C05450 C05467
C05767 C05766
C04814 C11509
C00041 CE0469
C02712 C00073
CE4810 CE4812
CE4810 CE4811
C05933 C00533
C00346 C00189
C04688 C05760
C00441 C03340
CE2952 CE5589
C01936 CE2835
C00116 CE6488
G00119 G00120
C00189 C11695
C04424 C00630
C00022 C00177
C01936 CE2837
C04755 C00140
C05645 C03227
C00022 C00186
CE5903 CE5903
C00103 C00029
C01083 C00031
CE7074 CE7072
CE4818 CE4820
CE5014 C00473
C04688 C05759
CE6364 CE6498
C00073 C01180
C00219 CE7228
C04717 CE5526
CE2594 CE1102
C03227 C02470
C00049 C03406
CE5650 CE5964
C02430 C00101
C00521 C02452
C00062 C00077
C00746 CE5800
C02415 C00021
CE2095 CE2947
C00151 C01419
CE5337 CE5331
C00219 CE7231
C00219 CE7234
C02238 CE6417
C00632 C05640
C00129 C00353
CE6238 C11304
C03306 C04311
C00118 C00117
C00062 C00086
CE6444 CE6453
C00118 C00111
CE6444 CE6452
CE4832 CE4838
C00075 C00460
C06412 C00017
C00957 C00022
CE2162 CE2164
C02944 C05275
C00708 C01829
CE1944 C00555
C04090 C00145
C05471 C00735
G00085 G00084
C03418 C01240
C00219 CE7243
C06697 C07294
C00530 C13636
C14860 C14858
C00219 CE7244
C00181 C00379
C00129 C00341
CE5925 CE5926
C00370 C04230
CN0002 CN0003
C00750 C02567
C15656 G00163
G10598 C05868
C05138 C01176
C03272 C04737
CE4854 CE4852
CE4854 CE4851
C05634 C05635
C01194 C04549
C05951 C05952
CE5646 CE5647
G00085 G00086
C04500 C04537
CE5575 CE1754
C00415 C00101
CE2084 C04805
C04901 C04750
C00427 C00639
C00094 C01326
C00044 C00144
C01029 C00315
C01794 C01921
C14857 C14865
CE6365 CE6326
C11439 C00058
C00065 C00542
C00033 C13636
C05400 C00124
C04849 CE6248
CE6203 C05587
C00025 C02320
C00821 C03391
C00083 C00222
C14813 C14814
C02882 C00022
CE5162 CE5161
C00174 C00071
C03372 C00681
CE6234 C04741
C01835 C00897
C00203 G00023
C05443 C01561
C01724 C11455
C03372 C03715
CE6227 CE6225
CE5315 CE5314
C00780 C00978
C01081 C00378
G00057 G00058
C00365 C00526
C11821 C01551
C00410 C01953
C00347 C00040
C00174 C00040
C04392 C00700
G00014 G00013
CE2872 CE2876
